,id,day,airline,destination,dest_region,dest_size,boarding_area,dept_time,wait_min,cleanliness,safety,satisfaction,full_name,survey_response
0,1351,Tuesday,UNITED INTL,KANSAI,Asia,Hub,Gates 91-102,12/31/2018,115,Clean,Neutral,Very satisfied,Michael Ward,It was terrible
1,373,Friday,ALASKA,SAN JOSE DEL CABO,Canada/Mexico,Small,Gates 50-59,12/31/2018,135,Clean,Very safe,Very satisfied,Dr. Michael Ward,It was terrible
2,2820,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,12/31/2018,70,Average,Somewhat safe,Neutral,Michael Ward,It was terrible
3,1157,Tuesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,12/31/2018,190,Clean,Very safe,Somewhat satsified,Michael Ward,It was terrible
4,2992,Wednesday,AMERICAN,MIAMI,East US,Hub,Gates 50-59,12/31/2018,559,Unacceptable,Very safe,Somewhat satsified,Michael Ward,It was terrible
5,634,Thursday,ALASKA,NEWARK,East US,Hub,Gates 50-59,12/31/2018,140,Somewhat clean,Very safe,Very satisfied,Michael Ward,I didn't like the flight
6,2578,Saturday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,12/31/2018,63,Clean,Very safe,Somewhat satsified,Michael Ward,I didn't like the flight
8,2592,Saturday,AEROMEXICO,MEXICO CITY,Canada/Mexico,    Hub,Gates 1-12,12/31/2018,215,Somewhat clean,Very safe,Neutral,Mr. Michael Ward,I didn't like the flight
9,919,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,12/31/2018,70,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,I didn't like the flight
10,3028,Tuesday,UNITED,PORTLAND,West US,Medium,Gates 70-90,12/31/2018,180,Average,Very safe,Neutral,Michael Ward,I didn't like the flight
11,1129,Tuesday,SOUTHWEST,SAN DIEGO,West US,Medium,Gates 20-39,12/31/2018,540,Clean,Very safe,Somewhat satsified,Michael Ward,I didn't like the flight
12,2648,Saturday,JETBLUE,BOSTON,East US,Large,Gates 1-12,12/31/2018,192,Somewhat clean,Very safe,Somewhat satsified,Miss Kerry Ward,I didn't like the flight
13,3104,Tuesday,UNITED,SPOKANE,West US,Small,Gates 70-90,12/31/2018,107,Clean,Very safe,Somewhat satsified,Michael Ward,I didn't like the flight
14,2589,Saturday,INTERJET,GUADALAJARA,Canada/Mexico,Medium,Gates 1-12,12/31/2018,155,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,Not a fan
15,2345,Tuesday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,12/31/2018,155,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,Not a fan
16,390,Friday,ALASKA,LOS ANGELES,West US,Hub,Gates 50-59,12/31/2018,175,Somewhat clean,Neutral,Somewhat satsified,Michael Ward,Not a fan
17,954,Tuesday,ALASKA,NEW YORK-JFK,EAST US,    Hub,Gates 50-59,12/31/2018,100,Clean,Very safe,Very satisfied,Michael Ward,Not a fan
18,2913,Friday,TURKISH AIRLINES,ISTANBUL,Middle East,Hub,Gates 91-102,12/31/2018,225,Unacceptable,Very safe,Somewhat satsified,Michael Ward,Not a fan
19,803,Sunday,ALASKA,BALTIMORE,East US,Medium,Gates 50-59,12/31/2018,155,Clean,Very safe,Very satisfied,Michael Ward,Not a fan
20,767,Thursday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,12/31/2018,115,Average,Neutral,Somewhat satsified,Michael Ward,Not a fan
21,1214,Tuesday,SOUTHWEST,LAS VEGAS,West US,Hub,Gates 20-39,12/31/2018,60,Average,Somewhat safe,Somewhat satsified,Michael Ward,Not a fan
22,1373,Tuesday,UNITED INTL,SHANGHAI,Asia,Hub     ,Gates 91-102,12/31/2018,145,Clean,Very safe,Somewhat satsified,Ms. Kerry Ward,Not a fan
23,1263,Thursday,UNITED INTL,TOKYO-NARITA,Asia,Hub,Gates 91-102,12/31/2018,210,Average,Neutral,Neutral,Michael Ward,Not a fan
24,2723,Wednesday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,160,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,Not a fan
25,3097,Tuesday,UNITED,SPOKANE,West US,    Small,Gates 70-90,12/31/2018,604,Clean,Very safe,Very satisfied,Michael Ward,Not a fan
27,214,Wednesday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,12/31/2018,100,Average,Somewhat safe,Somewhat satsified,Michael Ward,Not a fan
28,1372,Tuesday,UNITED INTL,PARIS-DE GAULLE,eur,    Hub,Gates 91-102,12/31/2018,205,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,Not a fan
29,1956,Tuesday,UNITED,BOSTON,East US,Large,Gates 70-90,12/31/2018,115,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,Not a fan
30,1716,Sunday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,510,Clean,Neutral,Very satisfied,Michael Ward,Not a fan
31,1487,Wednesday,HAWAIIAN AIR,HONOLULU,West US,Medium     ,Gates 1-12,12/31/2018,135,Clean,Very safe,Somewhat satsified,Michael Ward,Not a fan
32,842,Tuesday,AMERICAN,DALLAS-FT. WORTH,Midwest US,    Hub,Gates 50-59,12/31/2018,145,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,Not a fan
33,930,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,12/31/2018,270,Average,Somewhat safe,Somewhat satsified,Michael Ward,Not a fan
34,3064,Sunday,COPA,PANAMA CITY,Central/South America,Medium,Gates 1-12,12/31/2018,173,Average,Neutral,Neutral,Michael Ward,Not a fan
35,743,Sunday,ALASKA,NEW YORK-JFK,East US,Hub,Gates 50-59,12/31/2018,100,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,Not a fan
36,2099,Monday,UNITED INTL,MEXICO CITY,Canada/Mexico,Hub,Gates 91-102,12/31/2018,190,Clean,Very safe,Neutral,Michael Ward,Not a fan
37,315,Thursday,UNITED,SAN DIEGO,West US,Medium,Gates 70-90,12/31/2018,92,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,Not a fan
38,2216,Thursday,SOUTHWEST,PHOENIX,West US,Hub,Gates 20-39,12/31/2018,135,Somewhat clean,Very safe,Very satisfied,Michael Ward,Not a fan
